0,2023,2020,2017,2016,2015,2014
营业总收入,1584.02万,8113.11万,1735.41万,3166.87万,8510.64万,2.07亿
同比(%),-,-,-45.2,-62.79,-58.85,-
净利润,5650.40万,14.43亿,1599.53万,1.45亿,7.35亿,4.99亿
同比(%),-,-,-88.98,-80.26,47.43,-
资产总计,218.83亿,200.73亿,102.42亿,75.31亿,71.84亿,58.19亿
同比(%),-,-,36,4.82,23.46,-
负债总计,196.14亿,181.12亿,93.48亿,66.49亿,64.31亿,44.92亿
所有者权益总计,22.69亿,19.61亿,8.94亿,8.81亿,7.53亿,13.27亿
同比(%),-,-,1.4,16.98,-43.23,-
加权净资产收益率(%),2.49,73.57,1.79,16.48,97.64,37.60
净利率(%),356.71,1778.67,92.17,458.49,864.18,241.23
资产负债率(%),89.63,90.23,91.28,88.30,89.52,77.20
