0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2021
营业总收入,-,-,-,-,1115.17亿,855.13亿,709.71亿,601.25亿,593.04亿,565.83亿,-
同比(%),-,-,-,-,30.41,20.49,18.04,1.38,4.81,36.34,-
利润总额,-107.26亿,-175.50亿,-215.72亿,335.92亿,292.03亿,226.38亿,186.92亿,131.96亿,137.22亿,152.56亿,-
净利润,-116.24亿,-206.59亿,-283.77亿,194.62亿,163.80亿,123.11亿,105.71亿,75.10亿,81.59亿,94.88亿,-
同比(%),-,27.2,-245.8,18.82,33.05,16.46,40.75,-7.95,-14.01,15.35,-
资产总计,5779.73亿,6162.11亿,6281.04亿,5897.53亿,4714.54亿,3775.97亿,3075.59亿,2619.03亿,2442.55亿,2205.33亿,-
同比(%),-7.41,-1.89,6.5,25.09,24.86,22.77,17.43,7.23,10.76,25.47,-
负债总计,5117.28亿,5367.06亿,5141.04亿,4372.58亿,3547.50亿,2723.17亿,2108.12亿,1736.86亿,1695.05亿,1555.50亿,-
所有者权益总计,662.45亿,795.05亿,1140.00亿,1524.95亿,1167.04亿,1052.80亿,967.47亿,882.17亿,747.49亿,649.83亿,-
同比(%),-30.32,-30.26,-25.24,30.67,10.85,8.82,9.67,18.02,15.03,25.32,-
经营活动产生的现金流量净额,-,-,-,68.42亿,294.80亿,22.10亿,114.79亿,-34.61亿,23.26亿,-117.35亿,84.90亿
基本每股收益(元),-,-,-,-,-,-,-,-,1.77,2.34,-
每股净资产(元),-,-,-,-,341.66,188.35,165.21,150.36,-,131.54,-
每股经营现金流(元),-,-,-,-,86.31,6.47,32.90,-9.92,-,-32.94,-
毛利率(%),-,-,-,-,-,-,-,-,29.90,32.63,-
净利率(%),-,-,-,-,14.69,14.40,14.89,12.49,13.76,16.77,-
资产负债率(%),88.54,87.10,81.85,74.14,75.25,72.12,68.54,66.32,69.40,70.53,-
流动比率,1.10,1.09,1.28,-,1.38,1.54,1.64,1.60,-,1.45,-
速动比率,-,-,-,-,0.46,0.51,0.66,0.58,-,0.48,-
