0,2022,2021,2020,2019,2018,2014
营业总收入,1.24亿,1.52亿,1.88亿,1.95亿,1.56亿,3865.73万
同比(%),-18.11,-19.21,-3.89,25.62,-,108.03
利润总额,5110.42万,6798.71万,8624.93万,8603.46万,6727.67万,451.98万
净利润,3908.50万,5153.19万,6470.67万,6487.10万,5069.27万,283.40万
同比(%),-24.15,-20.36,-0.25,27.97,-,12812.82
资产总计,5.81亿,5.58亿,5.29亿,4.29亿,3.30亿,1.12亿
同比(%),4.05,5.49,23.3,30.11,-,-4.24
负债总计,1.13亿,1.31亿,1.64亿,1.29亿,9575.14万,872.85万
所有者权益总计,4.68亿,4.27亿,3.65亿,3.00亿,2.34亿,1.03亿
同比(%),9.47,17.13,21.5,28.21,-,3.26
经营活动产生的现金流量净额,769.17万,3096.45万,7276.17万,8641.55万,6331.84万,-564.50万
每股净资产(元),4.68,4.27,3.65,3.00,2.34,1.03
每股经营现金流(元),0.08,0.31,0.73,0.86,0.63,-0.06
加权净资产收益率(%),8.36,13.01,19.46,24.28,21.65,2.79
净利率(%),31.47,33.98,34.47,33.21,32.60,7.33
资产负债率(%),19.47,23.46,31.08,30.06,29.02,7.79
