0,2020,2019,2018
营业总收入,8031.58万,651.57万,6955.46万
同比(%),1132.65,-90.63,-
利润总额,1877.75万,338.37万,-104.80万
净利润,1407.79万,338.37万,130.33万
同比(%),316.05,159.63,-
资产总计,80.03亿,77.03亿,73.10亿
同比(%),3.9,5.37,-
负债总计,40.42亿,37.58亿,33.72亿
所有者权益总计,39.62亿,39.45亿,39.38亿
同比(%),0.42,0.16,-
经营活动产生的现金流量净额,-77.69万,155.92万,-39.56亿
每股净资产(元),1.20,1.19,1.19
每股经营现金流(元),-0.00,0.00,-1.20
加权净资产收益率(%),0.36,0.09,0.03
毛利率(%),48.63,48.01,41.56
净利率(%),17.53,51.93,1.87
资产负债率(%),50.50,48.79,46.12
流动比率,5.49,9.30,20.62
速动比率,5.49,9.30,20.62
