0,2021,2020,2018,2017,2016,2015,2014
营业总收入,1.97亿,2.22亿,70.08亿,83.84亿,69.44亿,62.38亿,63.45亿
同比(%),-11.53,-,-16.41,20.74,11.32,-1.68,-10.45
利润总额,-27.24亿,-2349.73万,-22.97亿,8.11亿,5.85亿,6.38亿,6.51亿
净利润,-27.25亿,-2441.92万,-25.98亿,5.09亿,4.05亿,4.81亿,4.78亿
同比(%),-11060.96,-,-610.3,25.76,-15.78,0.51,11.28
资产总计,257.81亿,252.27亿,435.70亿,447.91亿,428.44亿,347.27亿,326.03亿
同比(%),2.2,-,-2.73,4.54,23.37,6.52,30.06
负债总计,376.64亿,343.84亿,353.86亿,333.08亿,315.04亿,260.25亿,250.45亿
所有者权益总计,-118.83亿,-91.57亿,81.84亿,114.83亿,113.40亿,87.02亿,75.58亿
同比(%),-29.76,-,-28.74,1.27,30.31,15.13,16.67
经营活动产生的现金流量净额,-1.95亿,-632.67万,-1779.40万,19.62亿,6.24亿,-2.58亿,17.35亿
每股净资产(元),-48.17,-32.98,10.36,23.40,22.46,20.77,17.25
每股经营现金流(元),-0.78,-0.03,-0.07,7.85,2.50,-1.03,6.94
加权净资产收益率(%),-,-,-64.99,7.40,5.66,11.80,11.39
毛利率(%),45.24,50.49,21.89,26.78,24.73,20.93,20.37
净利率(%),-1386.03,-10.99,-37.06,6.07,5.83,7.70,7.54
资产负债率(%),146.09,136.30,81.22,74.36,73.53,74.94,76.82
流动比率,0.41,0.52,0.82,1.04,1.14,1.19,1.22
速动比率,0.13,0.19,0.33,0.41,0.45,0.42,0.42
