0,2018,2017,2016,2015,2014
营业总收入,9.99亿,6.79亿,3.46亿,2.57亿,2.20亿
同比(%),47.13,96.24,34.63,16.82,36.65
利润总额,8914.95万,4714.24万,2471.97万,1978.58万,1729.61万
净利润,7883.43万,4110.21万,2147.44万,1485.44万,1289.81万
同比(%),91.8,91.4,44.57,15.17,11.22
资产总计,11.96亿,8.63亿,4.33亿,2.68亿,1.94亿
同比(%),38.59,99.31,61.57,38.14,210.97
负债总计,5.32亿,4.85亿,2.25亿,1.24亿,6536.97万
所有者权益总计,6.64亿,3.78亿,2.07亿,1.43亿,1.29亿
同比(%),75.66,82.61,44.76,10.85,350.32
经营活动产生的现金流量净额,-1.14亿,-1.61亿,-1605.46万,5694.99万,-8436.45万
基本每股收益(元),0.43,0.33,0.24,0.14,0.14
稀释每股收益(元),0.43,0.33,0.24,0.14,0.14
每股净资产(元),2.66,2.14,1.65,1.30,1.17
每股经营现金流(元),-0.45,0.05,0.10,0.27,0.01
加权净资产收益率(%),17.26,16.04,11.72,10.92,11.99
毛利率(%),16.82,18.42,21.40,14.57,15.68
净利率(%),7.89,7.29,9.47,5.78,5.86
资产负债率(%),44.47,42.45,45.19,46.41,33.71
流动比率,2.05,2.18,1.98,1.88,2.51
速动比率,1.39,1.26,1.53,1.32,1.76
