0,2022,2021,2020,2019,2018,2017,2016
营业总收入,120.75亿,295.59亿,271.49亿,219.01亿,163.04亿,152.47亿,151.59亿
同比(%),28.3,8.88,23.96,34.33,6.94,0.58,-
利润总额,4.05亿,4.65亿,28.47亿,36.72亿,22.52亿,23.48亿,25.11亿
净利润,3.12亿,3.51亿,20.99亿,26.56亿,17.12亿,18.15亿,17.80亿
同比(%),-62.05,-83.26,-20.99,55.16,-5.68,1.99,-
资产总计,1684.77亿,1696.13亿,1526.77亿,1263.40亿,905.44亿,645.51亿,501.17亿
同比(%),-2.4,11.09,20.85,39.53,40.27,28.8,-
负债总计,1317.54亿,1334.95亿,1207.80亿,1059.28亿,749.67亿,513.03亿,390.19亿
所有者权益总计,367.23亿,361.18亿,318.97亿,204.12亿,155.77亿,132.48亿,110.98亿
同比(%),-0.46,13.23,56.26,31.04,17.58,19.37,-
经营活动产生的现金流量净额,69.23亿,45.74亿,78.27亿,108.22亿,56.11亿,32.27亿,2989.13万
每股净资产(元),4.46,4.45,4.69,4.48,4.76,4.37,3.69
每股经营现金流(元),1.34,0.89,1.70,2.56,1.76,1.08,0.01
加权净资产收益率(%),1.52,2.10,10.10,15.56,12.10,14.88,16.10
毛利率(%),17.52,16.30,23.08,-,-,-,-
净利率(%),2.58,1.19,7.73,-,-,-,-
资产负债率(%),78.20,78.71,79.11,83.84,82.80,79.48,77.86
流动比率,1.30,1.33,1.39,1.31,1.36,1.27,1.32
速动比率,0.34,0.36,0.39,0.35,0.34,0.35,0.33
