0,2017,2016,2015,2014
营业总收入,15.26亿,37.81亿,33.76亿,44.48亿
同比(%),-22.81,12,-24.1,-
利润总额,1.46亿,9.07亿,63.30万,3.35亿
净利润,6681.90万,6.74亿,-8401.60万,2.19亿
同比(%),-78.02,902.23,-138.36,-
资产总计,229.89亿,195.93亿,184.14亿,180.57亿
同比(%),23.41,6.4,1.98,-
负债总计,178.75亿,148.67亿,145.16亿,141.75亿
所有者权益总计,51.14亿,47.26亿,38.99亿,38.82亿
同比(%),18.63,21.21,0.44,-
经营活动产生的现金流量净额,-5.42亿,6.42亿,2216.20万,-1.26亿
每股净资产(元),15.50,14.46,12.18,13.40
每股经营现金流(元),-1.87,2.21,0.08,-0.50
加权净资产收益率(%),1.90,15.60,0.08,3.79
毛利率(%),33.62,39.49,32.97,39.28
净利率(%),4.38,17.83,-2.49,4.92
资产负债率(%),77.76,75.88,78.83,78.50
流动比率,1.04,0.91,0.85,0.93
速动比率,0.28,0.30,0.19,0.22
