0,2023,2022,2021,2020,2019,2018,2017,2016
营业总收入,140.72万,643.30万,603.13万,380.81万,1380.55万,1021.17万,737.70万,247.14万
同比(%),-46.9,6.66,58.38,-72.42,35.19,38.43,198.49,-
利润总额,-262.36万,-153.40万,28.77万,-565.46万,-244.15万,-43.40万,335.72万,2.76万
净利润,-261.39万,-153.95万,27.42万,-561.49万,-238.17万,-39.89万,300.01万,9580.00
同比(%),-155.51,-661.48,104.88,-135.75,-497.1,-113.3,31216.31,-
资产总计,1096.73万,1241.48万,1120.08万,1013.83万,1358.49万,1501.07万,1516.93万,133.57万
同比(%),3.84,10.84,10.48,-25.37,-9.5,-1.05,1035.66,-
负债总计,654.69万,627.60万,528.15万,437.31万,280.49万,304.90万,280.87万,5.25万
所有者权益总计,442.04万,613.88万,591.93万,576.52万,1078.00万,1196.17万,1236.06万,128.33万
同比(%),-25.66,3.71,2.67,-46.52,-9.88,-3.23,863.22,-
经营活动产生的现金流量净额,-58.67万,-186.36万,306.77万,94.53万,-410.07万,-676.58万,466.95万,-
基本每股收益(元),-0.19,-0.13,0.02,-0.50,-0.20,-0.04,1.65,-
稀释每股收益(元),-0.19,-0.13,0.02,-0.50,-0.22,-0.04,1.65,-
每股净资产(元),0.28,0.49,0.54,0.51,0.98,1.20,1.24,-
每股经营现金流(元),-0.08,-0.13,0.21,0.01,-0.27,-0.86,1.27,-
加权净资产收益率(%),-49.14,-30.90,-0.80,-67.91,-32.59,-3.55,111.78,-
毛利率(%),-89.40,24.41,48.77,14.12,18.74,54.32,67.92,-
净利率(%),-185.75,-23.93,4.55,-147.44,-17.25,-3.91,40.67,0.39
资产负债率(%),0.00,50.55,47.15,43.13,20.65,20.31,18.52,3.93
流动比率,0.00,1.64,2.10,1.73,3.80,3.70,5.05,-
速动比率,0.00,1.38,2.08,1.59,3.75,3.56,5.05,-
