0,2023,2022,2021,2020,2019,2018,2015,2014
营业总收入,7.93亿,12.29亿,14.69亿,11.54亿,10.52亿,9.24亿,6.61亿,6.27亿
同比(%),-,-16.3,27.24,9.77,13.85,-,5.44,-
利润总额,6842.96万,8659.04万,5666.38万,9661.25万,8759.99万,6462.64万,1899.66万,948.24万
净利润,6143.80万,7741.32万,5255.99万,8551.00万,6996.77万,5741.12万,1625.05万,614.65万
同比(%),-,47.29,-38.53,22.21,21.87,-,164.39,-
资产总计,22.54亿,20.57亿,18.86亿,16.36亿,14.10亿,12.60亿,4.81亿,5.34亿
同比(%),-,9.03,15.29,16.01,11.96,-,-9.85,-
负债总计,13.51亿,12.21亿,11.29亿,9.32亿,7.89亿,8.95亿,3.45亿,4.17亿
所有者权益总计,9.03亿,8.35亿,7.57亿,7.05亿,6.21亿,3.64亿,1.36亿,1.17亿
同比(%),-,10.34,7.45,13.46,70.4,-,16.63,-
经营活动产生的现金流量净额,-1032.55万,-5343.04万,43.81万,1.27亿,-1.59亿,-2.38亿,4933.95万,2866.72万
基本每股收益(元),-,0.47,0.32,0.52,0.48,0.42,0.16,0.06
稀释每股收益(元),-,0.47,0.32,0.52,0.48,0.42,0.16,0.06
每股净资产(元),-,5.05,4.58,4.26,3.76,2.63,1.36,1.17
每股经营现金流(元),-,-0.22,0.26,-0.43,0.35,0.00,0.11,-0.20
加权净资产收益率(%),6.98,9.76,7.19,12.93,15.22,17.00,12.83,5.47
毛利率(%),-,17.56,19.46,18.76,20.08,20.85,10.64,8.84
净利率(%),7.75,6.30,3.58,7.41,6.65,6.22,2.46,0.98
资产负债率(%),59.95,59.38,59.86,56.93,55.97,71.07,71.66,78.10
流动比率,-,1.52,1.49,1.59,1.64,1.27,0.97,0.94
速动比率,-,1.27,1.25,1.38,0.96,0.83,0.86,0.85
